"company","serial_number","name","asset_tag","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1399175-0023","AO800067-CRT","HSS-9800044","ERGOTRON","SV43-2570-0","AO800067","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1399174-0005","AO400595-CRT","HSS-9800045","ERGOTRON","SV43-2570-0","AO400595","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1360677-0053","AO800072-CRT","HSS-9800046","ERGOTRON","C50-3500-0","AO800072","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1324266-0110","AO800122-CRT","HSS-9800047","ERGOTRON","C50-3500-0","AO800122","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1399175-0024","AO800130-CRT","HSS-9800048","ERGOTRON","SV43-2570-0","AO800130","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1324266-0065","AO800085-CRT","HSS-9800049","ERGOTRON","C50-3500-0","AO800085","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1393797-0022","AO800037-CRT","HSS-9800050","ERGOTRON","SV43-1310-0","AO800037","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1366798-0080","AO800100-CRT","HSS-9800051","ERGOTRON","C50-3500-0","AO800100","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1399175-0006","AO800110-CRT","HSS-9800052","ERGOTRON","SV43-2570-0","AO800110","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1399175-0019","AO800113-CRT","HSS-9800053","ERGOTRON","SV43-2570-0","AO800113","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1366798-0084","AO400585-CRT","HSS-9800054","ERGOTRON","C50-3500-0","AO400585","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1362052-0018","AO800104-CRT","HSS-9800055","ERGOTRON","C50-3500-0","AO800104","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1359919-0086","AO400574-CRT","HSS-9800056","ERGOTRON","C50-3500-0","AO400574","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1393797-0011","AO800099-CRT","HSS-9800057","ERGOTRON","C50-3510-0","","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1393797-0020","AO800043-CRT","HSS-9800058","ERGOTRON","C50-3510-0","AO800043","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1366798-0078","AO800139-CRT","HSS-9800059","ERGOTRON","C50-3500-0","AO800139","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1393797-0021","AO800021-CRT","HSS-9800060","ERGOTRON","C50-3510-0","AO800021","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1359497-0074","AO800042-CRT","HSS-9800061","ERGOTRON","C50-3500-0","AO800042","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1399175-0005","AO800328-CRT","HSS-9800062","ERGOTRON","SV43-2570-0","AO800328","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1296598-0016","AO800326-CRT","HSS-9800063","ERGOTRON","SV43-2570-0","AO800326","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1328164-0098","AO800119-CRT","HSS-9800064","ERGOTRON","C50-3500-0","AO800119","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1328164-0042","AO800029-CRT","HSS-9800065","ERGOTRON","C50-3500-0","AO800029","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1366798-0079","AO800045-CRT","HSS-9800066","ERGOTRON","C50-3500-0","AO800045","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1399175-0018","AO400586-CRT","HSS-9800068","ERGOTRON","C50-3510-0","AO400586","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1399174-0014","AO800071-CRT","HSS-9800085","ERGOTRON","SV43-2570-0","AO800071","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0008","AO800327-CRT","HSS-9800086","ERGOTRON","SV43-2570-0","AO800327","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1896906-0016","AO001658-CRT","HSS-98000861","ERGOTRON","SV43-1310-0","AO001658","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
