"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC026580","PC026580","HSS-8076229","45PTVP3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Room 9","1","REQ1116767-RITM1175340-SCTASK1877545","09/30/2031","NTT-Deskside Services-PortHardy-Local"
"LD066634","LD066634","HSS-8088000","46F4VZ3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Room 2","1","VIHATRP20240624-014","09/30/2032","NTT-Deskside Services-PortHardy-Remote"
"LD081076","LD081076","HSS-8058357","46KHRH3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","PHH1E031","1","VIHATRP20220425-025","07/31/2030","NTT-Deskside Services-PortHardy-Staffed"
"LD041013","LD041013","HSS-8088050","4805VZ3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Office off admin","1","VIHATRP20240624-052","08/31/2032","NTT-Deskside Services-PortHardy-Staffed"
"LD022344","LD022344","HSS-8022294","488JGC3","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Main Building","10","1","VIHATRP20210614-010","09/30/2029","NTT-Deskside Services-PortHardy-Local"
"PC026582","PC026582","HSS-8088014","49F4VZ3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Bullpen (Against sidewall - corner of room","1","VIHATRP20240624-027","08/31/2032","NTT-Deskside Services-PortHardy-Local"
"PC033387","PC033387","HSS-8074329","49LTVP3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Admin Office (Back of Office by Clock)","1","VIHATRP20230509-060","08/31/2031","NTT-Deskside Services-PortHardy-Remote"
"LD035985","LD035985","HSS-8074303","49PTVP3","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Intake room","1","VIHATRP20230509-040","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"LD057657","LD057657","HSS-1044648","4CCLTY3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Admin trailer-Hayley Mcconnell's office","1","REQ1143658-RITM1204126-SCTASK1924689","01/31/2032","NTT-Deskside Services-PortHardy-Remote"
"PC032002","PC032002","HSS-8058451","4CPKRH3","VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor","Main Building","DT1104","","VIHATRP20220502-028","07/31/2030","NTT-Deskside Services-PortHardy-Remote"
"PC022058","PC022058","HSS-8074302","4CPTVP3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Room 16","1","VIHATRP20230509-039","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"PC037392","PC037392","HSS-8074255","4FFQQT3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Main Building","Unit A (Center for Hope)","2","VIHATRP20230509-003","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"LD065374","LD065374","HSS-8058363","4HXJRH3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Physiotherapy ","1","VIHATRP20220425-029","09/30/2030","NTT-Deskside Services-PortHardy-Staffed"
"LD035983","LD035983","HSS-8074312","4JJTVP3","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Office (Beside Nurses Station)","1","VIHATRP20230509-049","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"LD039569","LD039569","HSS-8074263","4L4QQT3","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Main Building","Nurses Office","1","VIHATRP20230509-007","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"LD024257","LD024257","HSS-8090904","4LJ5TY3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","WFH","1","REQ2022438-RITM2136054-SCTASK3448302","12/31/2032","NTT-Deskside Services-PortHardy-Staffed"
"LD060361","LD060361","HSS-8074253","4M4QQT3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Main Building","WFH","1","VIHATRP20230509-001","10/31/2031","NTT-Deskside Services-PortHardy-Local"
"PC067101","PC067101","HSS-8074272","4Q8QQT3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Laboratory (Back of Lab)","1","VIHATRP20230509-014","08/31/2031","NTT-Deskside Services-PortHardy-Staffed"
"LD023042","LD023042","HSS-8095346","4QC5W14","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Nurses Station right side","1","ISLHTRP20250901-018","09/30/2030","NTT-Deskside Services-PortHardy-Remote"
"PC076568","PC076568","HSS-1200170","4RS3VZ3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Admin","1","INC3294776","08/31/2032","NTT-Deskside Services-PortHardy-Remote"
"LD066494","LD066494","HSS-8087988","4S84VZ3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Room 11","1","VIHATRP20240624-005","08/31/2032","NTT-Deskside Services-PortHardy-Remote"
"LD035964","LD035964","HSS-8095347","4SXKG14","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Mt Waddington Admin Bldg Hayley Mcconnell","1","ISLHTRP20250901-028","09/30/2030","NTT-Deskside Services-PortHardy-Remote"
"PC047073","PC047073","HSS-1045065","4TKJTY3","VIHA-SHC-Sointula Health Clinic-Main Building-1st Floor","Main Building","Reception","1","REQ1195069-RITM1258635-SCTASK2016931","03/31/2032","NTT-Deskside Services-PortHardy-Remote"
"LD045866","LD045866","HSS-8088033","4W84VZ3","VIHA-PHH-Port Hardy Hospital","Main Building","Work From Home","1st Floor","VIHATRP20240624-039","08/31/2032","NTT-Deskside Services-PortHardy-Staffed"
"LD090373","LD090373","HSS-1045155","4XGKTY3","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Main Building","Office beside rear door-no number","1","REQ1192252-RITM1255586-SCTASK2016942","03/31/2032","NTT-Deskside Services-PortHardy-Local"
"LD030960","LD030960","HSS-8058336","4YVHRH3","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Managers Office","1","VIHATRP20220425-008","08/31/2030","NTT-Deskside Services-PortHardy-Local"
"PC033379","PC033379","HSS-8058445","4Z4KRH3","VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor","Main Building","Admitting","","VIHATRP20220502-023","07/31/2030","NTT-Deskside Services-PortHardy-Remote"
"LD035984","LD035984","HSS-8074307","50LTVP3","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Bullpen (Harm Reduction Office)","1","VIHATRP20230509-045","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"PC047072","PC047072","HSS-1040566","51270N3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Nursing Station (Report Room)","1","REQ0813624-RITM0854811-SCTASK1354949","01/31/2031","NTT-Deskside Services-PortHardy-Remote"
"LD090445","LD090445","HSS-1045419","51B6PW3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","TBD","1","REQ1217462-RITM1282499-SCTASK2065390","03/31/2032","NTT-Deskside Services-PortHardy-Staffed"
"PC033378","PC033378","HSS-8058338","522JRH3","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Mental Health Admin","","VIHATRP20220425-009","08/31/2030","NTT-Deskside Services-PortHardy-Local"
