"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD034006","LD034006","HSS-8062131","6GSMVF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B047 - Open Work Area","B","VIHATRP20220929-053","11/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD065175","LD065175","HSS-8023633","6GXGGC3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","300","3rd Floor","VIHATRP20210816-018","11/30/2029","NTT-Deskside Services-Nanaimo-Local"
"LD066153","LD066153","HSS-8078207","6GXRQT3","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","HCN Nsg area - Centre RN desk","1","VIHATRP20230904-041","11/30/2031","NTT-Deskside Services-Nanaimo-Local"
"LD073182","LD073182","HSS-8062039","6H160N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G078","G","VIHATRP20220822-056","10/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD085847","LD085847","HSS-8060898","6H1NVF3","VIHA-NWR-Nanaimo Waddington Road-Main Building-2nd Floor","Main Building","203","2","VIHATRP20220802-085","10/31/2030","NTT-Deskside Services-Nanaimo-Local"
"PC034088","PC034088","HSS-8080049","6HG6PW3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","22 (Rod Hanson)","1st Floor","VIHATRP20231030-126","01/31/2032","NTT-Deskside Services-Nanaimo-Staffed"
"PC075654","PC075654","HSS-1940224","6HHMG14","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Critical Care","1309","1","DMND0005147","07/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD062492","LD062492","HSS-1040352","6HM60N3","VIHA-NDBC-Nanaimo Dufferin Boundary Crescents-Main Building-1st Floor","Main Building","Open Work Area 2","1","REQ0799524-RITM0840016-SCTASK1330389","01/31/2031","NTT-Deskside Services-Nanaimo-Local"
"PC032031","PC032031","HSS-8068061","6HP60N3","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","Main Building","Admin","1","VIHATRP20221024-050","02/28/2031","NTT-Deskside Services-Nanaimo-Local"
"LD041749","LD041749","HSS-8084171","6HT4VZ3","VIHA-MDO-Metral Drive Offices","","WFH","","VIHATRP20240304-041","04/30/2032","NTT-Deskside Services-Nanaimo-Local"
"PC085226","PC085226","HSS-8025333","6HTKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","E1238 - Interview","1","REQ1146870-RITM1207504-SCTASK1959354","02/28/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD028528","LD028528","HSS-8062061","6HX60N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G044","G","VIHATRP20220822-045","10/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"PC085353","PC085353","HSS-1046768","6HZ3TY3","VIHA-NMMC-Nanaimo Millstone Medical Centre-Main Building","Main Building","202-10","2","REQ1318911-RITM1391004-SCTASK2243193","07/31/2032","NTT-Deskside Services-Nanaimo-Local"
"LD046160","LD046160","HSS-8091782","6J2LG14","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","Last user: Jennifer Muldowny","1st Floor","VIHATRP20250106","01/31/2033","NTT-Deskside Services-Nanaimo-Local"
"PC090402","PC090402","HSS-1048167","6J64TY3","VIHA-OHC-Oceanside Health Centre","Main Building","Urgent Care","1","REQ1470231-RITM1551143-SCTASK2498223","11/30/2032","NTT-Deskside Services-Nanaimo-Local"
"PC024162","PC024162","HSS-1043787","6JHRQT3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G254","G","REQ1065487-RITM1121084-SCTASK1788285","10/31/2031","NTT-Deskside Services-Nanaimo-Staffed"
"PC049820","PC049820","","6JJPQT3","VIHA-OHC-Oceanside Health Centre-Main Building","Main Building","OHC self check-in kiosk (Main Entrance)","1","INC2777161","05/31/2031","NTT-Deskside Services-Nanaimo-Local"
"PC026547","PC026547","HSS-8075853","6JRRVP3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G093","G","VIHATRP20230626-110","09/30/2031","NTT-Deskside Services-Nanaimo-Staffed"
"PC060839","PC060839","HSS-8084209","6JT4VZ3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-3rd Floor","Main Building","Facilities & Maintenance Boiler Room","3","VIHATRP20240304-072","04/30/2032","NTT-Deskside Services-Nanaimo-Staffed"
"LD037330","LD037330","HSS-8023639","6JWGGC3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","","338","","VIHATRP20210816-021","11/30/2029","NTT-Deskside Services-Nanaimo-Local"
"PC080328","PC080328","HSS-1042687","6K160N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","Perinatal Room P2114","2","REQ1821145-RITM1922033-SCTASK3081645","02/28/2031","NTT-Deskside Services-Nanaimo-Staffed"
"LD039914","LD039914","HSS-1031598","6K1LGC3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 249","2nd Floor","REQ0430575-RITM0451395-SCTASK0697765","02/28/2030","NTT-Deskside Services-Nanaimo-Local"
"LD058957","LD058957","HSS-8074137","6K4QQT3","VIHA-PFP-Parksville Family Place-Main Building-2nd Floor","Main Building","217","2nd Floor","VIHATRP20230501-045","08/31/2031","NTT-Deskside Services-Nanaimo-Local"
"LD066469","LD066469","HSS-8082703","6KBKTY3","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","","","","VIHATRP20240122-024","03/31/2032","NTT-Deskside Services-Nanaimo-Local"
