"City","Location","Building","Floor","Room","Department"
"","","","","120 - Clinic RN","Endoscopy Screening Program"
"","","","","1203","Enhanced Discharge Team"
"","","","","1203 - Meeting Room","Enterprise Data Warehouse"
"","","","","1203 - Sonographers Room","Enterprise Systems Development"
"","","","","1203 - Sonographer's Room","Environmental"
"","","","","1203B","Environmental Health"
"","","","","1203B - Echo Supervisor Office","Environmental Health Protection"
"","","","","1207","Environmental Public Health"
"","","","","1207 - Pacemaker EDS/ Echo Check-in","EOC"
"","","","","1207 - Pacemaker EDS/Echo Check-In","Exec"
"","","","","1207 - WFH","Executive Director - Oceanside, Port Alberni/West Coast & HCC, Seniors Access"
"","","","","1208","F1 Medical"
"","","","","1208 - Pacemaker Clinic 1","F4 Medical"
"","","","","1208 Cashier's office","F6 Surgical"
"","","","","1209","Facilities Admin"
"","","","","1209 - Pace Maker Clinic 2","Facilities Design & Constructi"
"","","","","1209 - Pacemaker Clinic 2","Facilities Maintenance & Operations"
"","","","","1209 - Pacemaker EDS/ Echo Check-In","Facility Therapeutic Srves"
"","","","","1209A","Family Practice Program"
"","","","","1209a","FDC Project Funded Staff"
"","","","","1209A - CSO Office - Coordinator of Site Operation","Field Design and Construction"
"","","","","121","Fin Plan&Client Sup SI Adm"
"","","","","121 - Dorothy RN","Fin Plan&Clnt Sup CINI Adm"
"","","","","1210 - Finance Cashier","Finance"
"","","","","1219","Finance & Accounts Payable"
"","","","","1219-Manager, Admitting and Patient Flow, Central/North Island","Finance Accounts Payable"
"","","","","122","Finance Capital/Treasury"
"","","","","1220","Fire & Safety"
"","","","","1223","FMO"
"","","","","123","FMO Bldg Maint Admin"
"","","","","123 - Desk","FMO Operations Admin"
"","","","","123 - exclusive user: Jaana Stevenson","Food Info Systems"
"","","","","123 - User: Sherron Soo","Food Service Office"
"","","","","124","Food Services"
"","","","","125 - Desk","Food Services Office"
"","","","","126","Foundation"
"","","","","126 - Desk","Foundation Department"
"","","","","127 - Desk","FS - Central"
"","","","","128 - Desk","General Clinical �Services"
"","","","","1280","General Medical"
"","","","","1280A","General Medical & Renal"
"","","","","1280A - Nursing Station","General Medical & Stroke"
"","","","","1280A (Physician Cubby near RADU)","General Medical and Orthopedic"
"","","","","129 - Desk","General Medical and Renal"
"","","","","129-Classroom","General Medical and Stroke"
"","","","","13","General Medical and Surgical"
"","","","","130 - Desk","Genetics Counselling"
"","","","","1300G","Geog 1/2 Pharmacy & Pharm LTC"
"","","","","1300H","Geography 2"
"","","","","1300K","Geriatric Services"
"","","","","1300L","Geriatric Specialty Service"
"","","","","1300M","Geriatric Specialty Services"
"","","","","1300R","GROUND - therapy services"
"","","","","1300S","GSS Admin"
"","","","","1304","HAU"
"","","","","1307","HC Admin Practice & Educ"
"","","","","1309","HCC Contracted Services"
"","","","","131 - Desk","Health & Wellness"
"","","","","1312","Health Emergency Management - Operations"
"","","","","1315","Health Emergency Management - Planning"
"","","","","1316","Health Outreach Program"
"","","","","1317","Health Protection"
"","","","","1318","Health Protection & Environmental Services"
"","","","","132 - Desk","Health Records"
"","","","","1320","Health Services"
"","","","","1321","Health Wellness & Safety"
"","","","","1322","Heart Function"
"","","","","1323","Heart Function CLinic"
"","","","","1324","Heart Health"
"","","","","1325","Heart Health Admin"
"","","","","1326","HIM Informatics"
"","","","","1327","HIM Registration"
"","","","","133 - Desk","Hip & Knee Clinic"
"","","","","134","Hip & Knee Clinic - Booking"
"","","","","137 - CNE office","HIRU - High Intensity Rehab Unit"
"","","","","14","Hlth Svcs For Comm Living"
"","","","","14 Recent primary user: Tiana Reed","Hlth Well & Compliance"
"","","","","147","Home & Community Care"
"","","","","15","Home & Community Support"
"","","","","153","Home Care"
"","","","","1536","Home Care Monitoring"
"","","","","16","Home Care Nursing"
"","","","","1602  Trauma Room","Home Care Strategy Admin"
"","","","","168","Home Dialysis Clinic"
"","","","","169 Protection Services","Home Support"
"","","","","17","Home Support - Administration"
"","","","","170","Home Support Nursing"
"","","","","171","Homecare Scheduling"
"","","","","174","Hospital Foundation"
"","","","","179","Hospital Foundation - Reception"
"","","","","18","Hospital Liason"
"","","","","188","Housekeeping"
"","","","","192","Housekeeping Supervisor's Office"
"","","","","1-OC","HPC Hlth Svcs For Comm Living (NHC)"
"","","","","1st","HPC Hospital Liaison"
"","","","","2","HPEP General Admin"
"","","","","2 - scheduler office","HPV Home Care Monitoring"
"","","","","20","HPV Primary Care Admin"
"","","","","200","HR Central North Team 1"
"","","","","2009 - Dictation Room","HR Client Serv Corporate"
"","","","","2009 - Physician Dictation room","HR Corporate Team 2"
"","","","","201","Human Resources"
"","","","","2013","Human Resourses"
"","","","","2013 - Nurse's Station","ICU"
"","","","","2013 - Nurse's Station - Dictation Station","ICU - Main"
"","","","","2013 - Nurse's Station - Office","ICU HAU"
"","","","","2013 (724) - Nurse's Station - Unit Clerk","ICU Med"
"","","","","2013 Nurse's Station","IHealth Project Staff"
"","","","","2018 - Office","IM/IT"
"","","","","2019","IM\IT"
"","","","","202","Imaging Transcription"
