City,Location,Building,Floor,Room,Department
,,,,135 (Emergency Room - Urgent Care),
,,,,135 (W40),
,,,,136 (Exam Room 1),
,,,,136 (W2),
,,,,136 (W3),
,,,,136a (Exam Room 2),
,,,,137 (Exam Room 3),
,,,,137 (W10),
,,,,137 (W11),
,,,,137 (W12),
,,,,137 (W13),
,,,,137 (W14),
,,,,137 (W15),
,,,,137 (W16),
,,,,137 (W17),
,,,,137 (W4),
,,,,137 (W5),
,,,,137 (W6),
,,,,137 (W7),
,,,,137 (W8),
,,,,138,
,,,,138 (Exam Room 4),
,,,,138 (W18),
,,,,138 (W19),
,,,,138 (W20),
,,,,138 (W21),
,,,,138 (W22),
,,,,139 (Exam Room 5),
,,,,139 (W23),
,,,,139 (W24),
,,,,139 (W25),
,,,,139 (W27),
,,,,13a,
,,,,14,
,,,,140 (Exam Room 6),
,,,,141 (Exam Room 7),
,,,,142 (Exam Room 8),
,,,,145 (ER/ACU - Physio Gym),
,,,,15,
,,,,153 (ACU - Ante Room),
,,,,16,
,,,,16 (Fernanda Gutierrez - WFH sometimes),
,,,,163 (TBD),
,,,,17,
,,,,17 (Administration),
,,,,172,
,,,,175,
,,,,19,
,,,,19 (Desk A - Rhonda),
,,,,192 (CNE),
,,,,193 (CNE),
,,,,194 (Trauma),
,,,,195 (Trauma Room / OR),
,,,,1N (Main Nurse Desk),
,,,,1N (Main Nurse Desk)(7/24),
,,,,1N (OR1),
,,,,1N (OR1)(CADI),
,,,,1N (OR2),
,,,,1N (OR4),
,,,,1st admin trailer,
,,,,1st FL Office,
,,,,2,
,,,,2 (Mark's Office),
,,,,2 (NOT FOUND),
,,,,2(CN),
,,,,20,
,,,,20 (Bonnie Potter),
,,,,201,
,,,,201 - (Admin Section A),
,,,,201 - (in storage),
,,,,201 - Office 2 (Section A),
,,,,201 Office 1 (Section A),
,,,,2011 (2-South),
,,,,202,
,,,,202 - Chart (Section C),
,,,,202 - Office 5 (Section C),
,,,,202 - Office 6 (Section C),
,,,,202 - Reception (Section C),
,,,,202 (W152),
,,,,203,
,,,,203 c/o Melissa Manson,
,,,,2031 (Back Room TV),
,,,,2031 (Nurse Station - Back Office TV),
,,,,2031 (Nurse Station - Back Office),
,,,,2032 (Nurse Station - Bat Cave),
,,,,2035 (ICU Patient Lounge),
,,,,204 - 0 (Group Room),
,,,,204 - 3 (Section B),
,,,,204 - 4 (Section B),
,,,,2043 (2nd Floor Day Room),
,,,,2043 (2nd Floor Day Room)(Spare),
,,,,2044,
,,,,2044 (Tub Room),
,,,,205,
,,,,2055A (Maternity Clinic),
,,,,2055B (Maternity Clinic),
,,,,2055C (Maternity Clinic),
,,,,2062 (Assessment Room #2),
,,,,2064 (Back Office),
,,,,2065 (Nursery - Fetalink on wall),
,,,,2065 (Nursery - Monitoring Board On Wall),
,,,,2065 (Nursery),
,,,,2066 (Assessment Room #1),
,,,,2067 (Birthing Room #1),
,,,,2067 (Birthing Room #2),
,,,,2067 (Birthing Room 3 - PARR),
,,,,207,
,,,,208,
,,,,2083 (Nikki Kokkinis),
,,,,2084 (Christine S),
,,,,2084 (Roshni),
,,,,209,
,,,,21,
,,,,21 (Megan),
,,,,211,
,,,,212,
,,,,212 - Jonathan Noakes,
,,,,213,
,,,,214,
,,,,215,
,,,,216,
,,,,217,
,,,,217 (W127) Geraldine Blair-Speirs,
,,,,218 (W128) WFH - Corry Pettigrew,
,,,,219,
,,,,219 - Not Found,
,,,,219 (W129),
,,,,21A(),
,,,,21b,
,,,,22,
,,,,22 (Desk B - ),
,,,,220 (574 Cornation Street - HSS 6),
,,,,220 (574 Cornation Street),
,,,,220 (W130) Anna Forrest,
,,,,221(),
,,,,221B (Home Care Nursing),
,,,,221B (Home Care Nursing)(CN),
,,,,221B(),
,,,,222,
,,,,222 (Home Care Nursing),
,,,,222 (Home Care Nursing)(CN),
,,,,223 (W137),
,,,,223 (W138),
,,,,223 (W146),
,,,,223 (W147),
,,,,224,
,,,,224 (Home Care Nursing),
,,,,225,
,,,,225 (Home Care Nursing),
,,,,226,
,,,,227,
,,,,23,
,,,,23 (Aimee),
,,,,24,
,,,,25,
,,,,251 (W105) Reception,
,,,,252 (W106 - side desk),
,,,,252 (W106),
,,,,252 (W107),
,,,,253 (W108),
,,,,253 (W109) - Alison Gardner,
,,,,254 (W110),
,,,,254 (W111),
,,,,255 (W112),
,,,,256 (W113),
,,,,257 (W118),
,,,,257 (W119),
,,,,258,
,,,,258 (W121) Jodi Worth,
,,,,259 (WFH),
,,,,26,
,,,,26 (CHS Rehab),
,,,,260 (W150),
,,,,260 (W151) Maryann,
,,,,261,
,,,,261 (W149) - Emma James,
,,,,262 (W148) Sue Kurucz,
,,,,262 ???,
,,,,266 (W114),
,,,,266 (W115) Angela Eykelbosh,
,,,,267,
,,,,267 (TBD),
,,,,268 (W116) Jennifer Sirup,
,,,,268 (W117) Kelsey,
,,,,27,
,,,,28,
,,,,2880 (Central Nurse Station Office),
,,,,29,
,,,,2C (Hallway),
,,,,2N (Hallway),
,,,,2N (LDR Med Room Area),
,,,,2N (Maternity OR),
,,,,2N (Nurse Station - Fetalink),
,,,,2N (Nurse Station),
,,,,2N (Nurse Station)(7/24),
,,,,2S (Hallway East),
,,,,2S (Hallway West),
,,,,2S (ICU Nurse Station),
,,,,2S (Nurse Station - Front),
,,,,2S (Nurse Station - Round Table),
,,,,2S (Nurse Station),
,,,,3,
,,,,3 (CN),
,,,,300B (file room),
,,,,300C,
,,,,301 (Director),
,,,,3011 (Liaisons Office),
,,,,303 (Meeting Room),
,,,,303 (Meeting Room)(SUIT Spare),
,,,,3031 (Nurse Station - Back Office TV),
,,,,3031 (Nurse Station - Back Office),
,,,,3032 (Nurse Station - Bat Cave),
,,,,3033 (Clinical Coordinator Office),
,,,,3036 (Floor 3 Dayroom - in storage),
,,,,3036 (Floor 3 Dayroom),
,,,,3037 (Tub Room),
,,,,304 (Admin),
,,,,304 Adult South Station - LPN,
,,,,304 Adult South Station - PRW,
,,,,3057 (Unit Clerk),
,,,,3059 (Med/Report Room),
,,,,306 (Counselor),
,,,,3060 (CSO Office),
,,,,3060 (CSO Office)(In Box),
,,,,3060 (CSO Office)(Not Found),
,,,,3063 (Outpatiant Procedure Room),
,,,,307 (Outreach),
,,,,308 (Clinic),
,,,,31,
,,,,310 (Outreach Team),
,,,,310 (Outreach Team)(Floater),
,,,,311 (Team Lead),
,,,,311 WFH - Griffin Halme,
,,,,313 - WFH,
,,,,313 (NP Clinic),
,,,,314 (Co-ordinator),
,,,,320,
,,,,3329 (Chemotherapy & Medical Daycare Office),
,,,,3330 (Oncology Physician),
,,,,3332 (Chemotherapy Medical Daycare),
,,,,3335 (Electrocardiogram)(Mobile),
,,,,3336 (ECG - Mobile),
,,,,3336 (Electrodiagnostic - Back Office),
,,,,3336 (Electrodiagnostic),
,,,,3336 (Electrodiagnostic)(Holter),
,,,,3336 (Electrodiagnostic)(Mobile),
,,,,3337 (Internal Medicine),
,,,,365,
,,,,3N (Hallway West),
,,,,3N (Hallway),
,,,,3N (Nurse Station),
,,,,3N (Nurse Station)(7/24),
,,,,3S (Hallway East - Substation),
,,,,3S (Hallway East),
,,,,3S (Hallway West - Substation),
,,,,3S (Hallway West),
,,,,3S (Nurse Station - Front),
,,,,3S (Nurse Station - Front)(7/24),
,,,,3S (Nurse Station - Round Table),
,,,,4,
,,,,4001,
,,,,4002 (Pulmonary Function Lab),
,,,,4003 (Outside Respiratory Therapy),
,,,,4003 (Respiratory Therapy),
,,,,4003 (Respiratory Therapy)(Spare),
,,,,4005 (Medication Room),
,,,,4005 (Medication Room)(Unlocked),
,,,,4015 (Meeting Room),
,,,,4019 (Patient Care Coordinator),
,,,,4019 (Patient Care Coordinator)(Spare),
,,,,4019 (Patient Care Coordinator)(WFH/Spare),
,,,,4024 (CNL Office),
,,,,4026 (Social Work),
,,,,4028 (Geriatric Specialty Services),
,,,,4028 (Spiritual Leader),
,,,,4028 (Spiritual Practioner),
,,,,4029,
,,,,4029 (Protection Services Office),
,,,,4034 (Meeting Room 1),
,,,,4036,
,,,,4036 (Clinical Nurse Lead + Social Worker),
,,,,4036 (Clinical Nurse Lead + Social Worker)(TV),
,,,,4036 (Patient Care Coordinator - Floater),
,,,,4037 (Nurse Station - Corner Station),
,,,,4037 (Nurse Station),
,,,,4037 (Psychiatry - Nurse Station),
,,,,404,
,,,,418,
,,,,421 (Nursing Station #1),
,,,,421 (Nursing Station #1) CN,
,,,,454,
,,,,454 - C-Wing Care Station#2,
,,,,48,
,,,,4S (Hallway),
,,,,5,
,,,,59,
,,,,6,
,,,,7,
,,,,8,
,,,,9,
,,,,ACT Team Area-,
,,,,Activities,
,,,,ACU - Main Nurse Station,
,,,,ACU - Main Nurse Station (Security Camera PC),
,,,,ACU - Physicians Area,
,,,,admin,
,,,,Admin Office,
,,,,Admin Office (Floor 1),
,,,,Admin Office (Floor 1)(Storage),
,,,,Admin Shelf (Floor 1),
,,,,Attention Jody (207),
,,,,B?? (TBD),
,,,,B28 (Staff Scheduling),
,,,,B31 (Staff Scheduling),
,,,,B32,
,,,,B32 (Staff Scheduling),
,,,,B33,
,,,,B33-(Dr. Crombie),
,,,,B34,
,,,,B35,
,,,,B36,
,,,,B37,
,,,,B38,
,,,,B39,
,,,,B40,
,,,,B42,
,,,,B44,
,,,,B45,
,,,,B46,
,,,,B47,
,,,,B47 (Denise Macdonald),
,,,,B49 (Training Room),
,,,,B50,
,,,,B50 (Training Room),
,,,,Basement,
,,,,Board Room B,
,,,,B-Sunroom (Admin Area),
,,,,C - Patient Lounge - North(TBD),
,,,,C - Reception(TBD),
,,,,C300,
,,,,C310(TBD),
,,,,C312 (Meeting Room),
,,,,C319 (Social Work)(TBD),
,,,,C319(OT Office)(TBD),
,,,,C400 (Meeting Room)(TBD),
,,,,C401(TBD),
,,,,C418,
,,,,C454(TBD),
,,,,Care station 1,
,,,,Carolyn's Office,
,,,,CDH Lecture Room,
,,,,Cellar (Medical Imaging - Records Storage Cage),
,,,,Clinic,
,,,,Clinic Room - Basement,
,,,,Clinic Room (RM 7),
,,,,Clinic Room (RM 9),
,,,,Colleen Davis office to change soon,
,,,,C-Wing Care Station#1,
,,,,D Wing(Room D82),
,,,,D??,
,,,,D077 (Bridgette von B),
,,,,D080 (Lisa Young - Director),
,,,,D081 (Sheena N),
,,,,D084,
,,,,D084 (Housekeeping Office),
,,,,D085,
,,,,D086 (Sarah Thompson),
,,,,D087 (Sarah StCyr),
,,,,D088,
,,,,D090,
,,,,D091,
,,,,D091 (Teresa 'Lori' Richter),
,,,,D094,
,,,,D094 (Michelle C),
,,,,D097 (Catherine Rousselle),
,,,,D097 (Sheri Biblow),
,,,,D098 (Sonya Manhas),
,,,,D099 (Nelson F.),
,,,,D100 (David Leadbetter),
,,,,D100 (Sharron Drew),
,,,,D100 WFH - David Leadbetter,
,,,,D102,
,,,,D102 (Seniors unit room),
,,,,D78,
,,,,D83 - WFH,
,,,,D95 (Mark C),
,,,,Doctor's Lounge,
,,,,Employee Office,
,,,,Endoscopy suite,
,,,,ER/ACU (Patient Bed Area)(In Storage),
,,,,Exam Room 1704,
,,,,Exam Room 1705,
,,,,FALSE,
,,,,Family Practice - Erin room,
,,,,File Room (RH Corner),
,,,,Float Station #3,
,,,,Float Station #4,
,,,,FPC Provider Area,
,,,,FPC Provider Area (Faye H. Side Office),
