"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC036099","PC036099","HSS-8084922","JVT5VZ3","VIHA-LMH-Lady Minto Hospital-Main Building-Basement 1","Main Building","004 (Social Worker - Cesca Zamboni)","G","VIHATRP20240325-034","05/31/2032","NTT-Deskside Services-Cowichan-Remote"
"LD062836","LD062836","HSS-1042054","JVZSVP3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","223 (W138)","2","REQ0883706-RITM0928874-SCTASK1492741","06/30/2031","NTT-Deskside Services-Cowichan-Local"
"PC077406","PC077406","HSS-1990983","JW1SQT3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Nurse Station)","","DMND0004484","11/30/2031","NTT-Deskside Services-Cowichan-Staffed"
"","JWDSVP3","HSS-1041990","JWDSVP3","VIHA-CLRC-Cowichan Lodge-Main Building","D-Wing","D90","1","REQ1931716-RITM2039142-SCTASK3349238","05/31/2031","NTT-Deskside Services-Cowichan-Local"
"LD034307","LD034307","HSS-1045276","JWGKTY3","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","WFH - ???","3","REQ1209652-RITM1274127-SCTASK2040623","03/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD066121","LD066121","HSS-8080479","JWT6PW3","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","Main Building","Office 2","2","VIHATRP20231113-070","01/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD066673","LD066673","HSS-8089705","JX2JTY3","VIHA-MIHU-Mayne Island Health Unit-Main Building-1st Floor","Main Building","Mayne Island Health unit","1","VIHATRP20240909","11/30/2032","NTT-Deskside Services-Cowichan-Remote"
"LD086198","LD086198","HSS-1044921","JXZHTY3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","WFH - Ruchir Mehndiratta","2","REQ1504167-RITM1586949-SCTASK2576604","02/29/2032","NTT-Deskside Services-Cowichan-Local"
"PC034639","PC034639","HSS-8065584","JY160N3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3336 (Electrodiagnostic)","","VIHATRP20220808-190","11/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"LD027684","LD027684","HSS-8070750","JY5RVP3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","115 (W50)","1","VIHATRP20230109-060","03/31/2031","NTT-Deskside Services-Cowichan-Local"
"LD038125","LD038125","HSS-8027495","JY7HRH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1018 (Back Area)","1","VIHATRP20220314-050","06/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"LD033205","LD033205","HSS-1045068","JY9JTY3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4026 (Social Work)","4","REQ1196002-RITM1259596-SCTASK2018149","03/31/2032","NTT-Deskside Services-Cowichan-Staffed"
"","JYK5VZ3","HSS-1047247","JYK5VZ3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Trailer","Trailer 1 (Admin Office)","G","REQ1373526-RITM1448759-SCTASK2341440","10/31/2032","NTT-Deskside Services-Cowichan-Staffed"
"PC033073","PC033073","HSS-8027506","JYNGRH3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3332 (Chemotherapy Medical Daycare)","","VIHATRP20220314-057","06/30/2030","NTT-Deskside Services-Cowichan-Staffed"
