"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD057963","LD057963","HSS-1032009","H9WKGC3","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building","","","2","REQ0431048-RITM0451894-SCTASK0729501","02/28/2030","NTT-Deskside Services-NorthIsland-Local"
"LD066372","LD066372","HSS-8066670","HBB60N3","VIHA-CVHCC-Comox Valley Home & Community Care","Main Building","128","1","VIHATRP20220919-012","12/31/2030","NTT-Deskside Services-NorthIsland-Local"
"PC024529","PC024529","HSS-8075050","HBJTVP3","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Main Building","CV4803","4","VIHATRP20230605-066","08/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD062928","LD062928","HSS-1042168","HBPTVP3","VIHA-CVH-Comox Valley Hospital-Main Building-3rd Floor","Main Building","CV3810","3","REQ0889504-RITM0935037-SCTASK1497199","06/30/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD101839","LD101839","HSS-1046156","HBZ5VZ3","VIHA-CVH-Comox Valley Hospital","CVH","Echo Department","1","REQ1263741-RITM1332311-SCTASK2135682","05/31/2032","NTT-Deskside Services-NorthIsland-Staffed"
"PC064087","PC064087","HSS-8087592","HC05VZ3","VIHA-HIHC-Hornby Island Health Centre-Main Building-1st Floor","Main Building","Nurses Office","1","VIHATRP20240610-034","09/30/2032","NTT-Deskside Services-NorthIsland-Remote"
"LD080811","LD080811","HSS-1037095","HCH60N3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0325 - Workstation 4","0","REQ0658946-RITM0692260-SCTASK1109017","10/31/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD080823","LD080823","HSS-1044082","HCK6PW3","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","Main Building","222","2","REQ0850106-RITM0893018-SCTASK1844946","12/31/2031","NTT-Deskside Services-NorthIsland-Local"
"LD072608","LD072608","HSS-1040558","HCM60N3","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","Team Leads Office - Sign Out 5","1","REQ0812242-RITM0853380-SCTASK1350490","01/31/2031","NTT-Deskside Services-NorthIsland-Local"
"PC026156","PC026156","HSS-8067020","HCMMVF3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2222","","VIHATRP20220926-095","12/31/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD086200","LD086200","HSS-1047139","HCP4VZ3","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","Main Building","218","2","REQ1359668-RITM1434144-SCTASK2302045","08/31/2032","NTT-Deskside Services-NorthIsland-Local"
