"SlNo","Asset Tag"
"168251","HSS-8060285"
"66282","HSS-8058145"
"63200","HSS-8076111"
"68295","HSS-8060271"
"64137","HSS-8081170"
"227728","HSS-8094120"
"92239","HSS-8078314"
"156355","HSS-8078315"
"158096","HSS-8074465"
"202108","HSS-8076103"
"73944","HSS-8059935"
"117967","HSS-8059934"
"81597","HSS-8058138"
"157950","HSS-8058141"
"166297","HSS-8058030"
"93827","HSS-8060263"
"251492","HSS-1047625"
"74815","HSS-8079645"
"124285","HSS-8081897"
"111029","HSS-8025973"
"92855","HSS-8081893"
"178734","HSS-8079636"
"231044","HSS-8093447"
"140724","HSS-8073394"
"479","HSS-1044603"
"233259","HSS-8094405"
"229136","HSS-8093866"
"25079","HSS-8061710"
"162720","HSS-8078521"
"258367","HSS-1110683"
"244590","HSS-8091768"
"167076","HSS-1043655"
"166942","HSS-8078515"
"233168","HSS-8096941"
"19894","HSS-8078528"
"159636","HSS-8079884"
"121658","HSS-8060180"
"35306","HSS-8079896"
"14383","HSS-8078525"
"236518","HSS-8087006"
"250663","HSS-1903192"
"237412","HSS-8087004"
"138507","HSS-8079899"
"180403","HSS-8075719"
"244807","HSS-8090590"
"229861","HSS-8082643"
"225685","HSS-8082624"
"253925","HSS-1049039"
"90981","HSS-8062120"
"256366","HSS-1110947"
"69140","HSS-8061898"
"67033","HSS-8061446"
"280849","HSS-8097119"
"229381","HSS-8082638"
"61078","HSS-8061930"
"11459","HSS-8067139"
"187574","HSS-8061896"
"228089","HSS-8082640"
"230936","HSS-8084101"
"229151","HSS-8082635"
"229526","HSS-8082642"
"230026","HSS-8082657"
"230840","HSS-8086577"
"240292","HSS-8087022"
"56609","HSS-8078416"
"233164","HSS-8096934"
"235297","HSS-8093457"
"230806","HSS-8086354"
"185219","HSS-8072297"
"137054","HSS-8072339"
"21982","HSS-1990627"
"229244","HSS-8093595"
"18215","HSS-1985507"
"112954","HSS-1035649"
"244742","HSS-8089543"
"250911","HSS-1049963"
"66867","HSS-1036527"
"229249","HSS-8093582"
"165510","HSS-8080331"
"227679","HSS-8093587"
"63685","HSS-1985540"
"90065","HSS-1985504"
"107035","HSS-1985100"
"230157","HSS-8083165"
"152507","HSS-8080333"
"31909","HSS-1985538"
"58756","HSS-1985539"
"191988","HSS-8065484"
"48881","HSS-1985506"
"70327","HSS-8065486"
