"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC051466","PC051466","HSS-8080173","BWFLTY3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2543","2","VIHATRP20231023-059","01/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC034826","PC034826","HSS-8082513","BWGKTY3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main building","2406","2","VIHATRP20240115-087","03/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC051980","PC051980","HSS-8079681","BWH7PW3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main building","2547B","2","VIHATRP20231023-022","12/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC033807","PC033807","HSS-8083521","BWJ6PW3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main building","OR patient holding","3","VIHATRP20240212-065","04/30/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"","PC033407","HSS-8061399","BWV50N3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2307","","VIHATRP20220808-271","10/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC072463","PC072463","HSS-1992478","BX2KTY3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","South tower","S547 - Physician Workspace","5","DMND0004657-001","02/29/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC051975","PC051975","HSS-8072019","BX3SVP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2530","2","VIHATRP20230206-121","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC027704","PC027704","HSS-1988359","BXDSVP3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","North tower","N343 D","","DMND0004201","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC042940","PC042940","HSS-8072450","BXHSVP3","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","North tower","N701C","","VIHATRP20230221-065","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"","LD056385","HSS-8093350","BXQ4W14","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","South tower","S625","6","ISLHTRP20250428-013","06/30/2033","NTT-Deskside Services-VictoriaGen-Staffed"
"LD091926","LD091926","HSS-1111689","BXRLG14","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","North Tower","N633","6","REQ1785672-RITM1884695-SCTASK3049839","07/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"LD065954","LD065954","HSS-8082448","BY0JTY3","VIHA-CASA-Sooke Health Unit Public Health Nursing-Main Building-1st Floor","Main building","n/a","1","VIHATRP20240115-047","04/30/2032","NTT-Deskside Services-VictoriaGen-Local"
"LD063260","LD063260","HSS-8060233","BY3MVF3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Main Building","1603","1","VIHATRP20220725-025","09/30/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"LD067308","LD067308","HSS-1045228","BY9JTY3","VIHA-EHU-Esquimalt Health Unit","530 Fraser Street","14","","REQ1201257-RITM1265154-SCTASK2032024","03/31/2032","NTT-Deskside Services-VictoriaGen-Local"
"LD036841","LD036841","HSS-8079724","BYC6PW3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","S216","2","VIHATRP20231023-051","12/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC034372","PC034372","HSS-8088900","BZF4VZ3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N236 Genetics","2","VIHATRP20240617","09/30/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD035212","LD035212","HSS-8071430","C07SVP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","S261","2","VIHATRP20230123-112","04/30/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD066263","LD066263","HSS-8075308","C0HQQT3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","","2","VIHATRP20230612-080","08/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC065843","PC065843","HSS-1975202","C11LGC3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","South tower","n/a","3","DMND0003265","02/28/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC090000","PC090000","HSS-1037771","C1270N3","VIHA-ECS-Esquimalt Comerford Street-Main Building-1st Floor","Main building","302","3","REQ0680841-RITM0715166-SCTASK1144935","11/30/2030","NTT-Deskside Services-VictoriaGen-Local"
"PC033835","PC033835","HSS-8087318","C156VZ3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main Building","Main Nursing station","3","VIHATRP20240603-032","08/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD066628","LD066628","HSS-8087314","C195VZ3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","S270","2","VIHATRP20240603-028","08/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD042893","LD042893","HSS-8080877","C19LTY3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2107","2","VIHATRP20231127-008","01/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC048432","PC048432","HSS-8076961","C1PPQT3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Main Building","1601","1","VIHATRP20230206-077","10/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC046409","PC046409","HSS-8079780","C1Y6PW3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","South tower","PCA 2","3","VIHATRP20231023-088","12/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"","LD056385","HSS-8093351","C2X4W14","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","South tower","S625","6","ISLHTRP20250428-013","06/30/2033","NTT-Deskside Services-VictoriaGen-Staffed"
"PC028259","PC028259","HSS-8059771","C3H60N3","VIHA-WUPCC-Westshore Urgent Primary Care Centre-Main Building-1st Floor","Main Building","Drop In Station","1","VIHATRP20220704-063","10/31/2030","NTT-Deskside Services-VictoriaGen-Local"
"LD050592","LD050592","HSS-1973353","C3JKGC3","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","South tower","S747","7","DMND0003177","11/30/2029","NTT-Deskside Services-VictoriaGen-Staffed"
"LD065954","LD065954","HSS-8082449","C3MJTY3","VIHA-CASA-Sooke Health Unit Public Health Nursing-Main Building-1st Floor","Main building","n/a","1","VIHATRP20240115-047","04/30/2032","NTT-Deskside Services-VictoriaGen-Local"
"LD040617","LD040617","HSS-8082422","C3SJTY3","VIHA-EHU-Esquimalt Health Unit-Main Building-1st Floor","Main building","30","1","VIHATRP20240115-027","03/31/2032","NTT-Deskside Services-VictoriaGen-Local"
"LD057243","LD057243","HSS-1028617","C49HGC3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N216 C","2","REQ0282632-RITM0295945-SCTASK0489603","10/31/2029","NTT-Deskside Services-VictoriaGen-Staffed"
"LD065202","LD065202","HSS-8024359","C4JKGC3","VIHA-EHU-Esquimalt Health Unit-Main Building-2nd Floor","Main building","unknown","2","VIHATRP20210913-071","02/28/2030","NTT-Deskside Services-VictoriaGen-Local"
"","LD073861","HSS-1043747","C4YQQT3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","327","3","REQ1041891-RITM1096348-SCTASK1773119","10/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD021148","LD021148","HSS-8078376","C52SQT3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main Building","3100A","3","VIHATRP20230911-113","11/30/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD032496","LD032496","HSS-8021602","C5PHL93","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","S203","2","VIHATRP20210517-003","11/30/2029","NTT-Deskside Services-VictoriaGen-Staffed"
"PC038697","PC038697","HSS-8061756","C5WLVF3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Main Building","1125 (Parking Office)","1","VIHATRP20220815-107","10/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"LD093073","LD093073","HSS-1048839","C5ZKG14","VIHA-WSC-West Shore Centre-Main Building-1st Floor","Main building","1610","1","REQ1491805-RITM1573938-SCTASK2632526","02/28/2033","NTT-Deskside Services-VictoriaGen-Local"
"PC043668","PC043668","HSS-8089195","C6CHTY3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","Peds Cubby","2","VIHATRP20240812-013","10/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD034027","LD034027","HSS-8081018","C6CLTY3","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","North tower","N452","4","VIHATRP20231127-104","01/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD093009","LD093009","HSS-1046552","C705VZ3","VIHA-EHU-Esquimalt Health Unit-Main Building-2nd Floor","Main building","233B","2","REQ1294583-RITM1365203-SCTASK2189337","07/31/2032","NTT-Deskside Services-VictoriaGen-Local"
"LD061697","LD061697","HSS-1045130","C75JTY3","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","North tower","N738","7","REQ1194926-RITM1258470-SCTASK2019695","03/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC034830","PC034830","HSS-8071990","C78SVP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2864 (Control Room)","","VIHATRP20230206-107","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD040745","LD040745","HSS-8089184","C7CHTY3","VIHA-HW-Heritage Woods-Main Building-1st Floor","Heritage ","G15","1","VIHATRP20240812-006","10/31/2032","NTT-Deskside Services-VictoriaGen-Local"
